Marque,Modèle,Année,Prix,Moteur,Fuel,Mileage
AUDI,RS5 II,2018,81 230 €,2.9 TFSI 450 RS5,Essence,68 508  km
AUDI,RS6 III AVANT,2014,70 190 €,4.0 TFSI 560 RS,Essence,150 687  km
AUDI,RS3 II SPORTBACK,2017,48 380 €,2.5 TFSI 367 RS,Essence,35 200  km
AUDI,S5 II CABRIOLET phase 2,2019,62 950 €,3.0 TFSI 354,Essence,60 282  km
AUDI,E-TRON,2020,75 580 €,95kWh 408 AVUS EXTENDED,Électrique,34 946  km
AUDI,RS3 II SPORTBACK,2017,52 240 €,2.5 TFSI 367 RS,Essence,60 095  km
AUDI,RS3 II SPORTBACK phase 2,2019,69 980 €,2.5 TFSI 400 RS3,Essence,45 818  km
AUDI,RS3 II SPORTBACK phase 2,2018,58 260 €,2.5 TFSI 400 RS3,Essence,141 608  km
AUDI,RS3 II SPORTBACK,2016,57 210 €,2.5 TFSI 367 RS,Essence,71 980  km
AUDI,SQ5 II,2018,59 140 €ou dès770 € /mois,3.0 V6 354 SQ5,Essence,113 100  km
AUDI,RS4 IV AVANT,2015,54 220 €,4.2 V8 450,Essence,91 472  km
AUDI,RS5 II SPORTBACK,2020,106 620 €,2.9 TFSI 450 RS5,Essence,21 650  km
Marque,Modèle,Année,Prix,Moteur,Fuel,Mileage
AUDI,RS4 V AVANT,2020,95 060 €,2.9 V6 450 RS4,Essence,71 388  km
AUDI,S5 SPORTBACK II,2018,52 620 €ou dès710 € /mois,3.0 TFSI 354 S5,Essence,78 288  km
AUDI,SQ5 II,2017,42 220 €,3.0 V6 354 SQ5,Essence,174 240  km
AUDI,RS6 III AVANT phase 2,2018,85 350 €,4.0 TFSI 605 PERFORMANCE,Essence,102 675  km
AUDI,RS3 II BERLINE phase 2,2020,58 780 €,2.5 TFSI 400 RS3,Essence,54 810  km
AUDI,RS3 II SPORTBACK phase 2,2020,62 890 €,2.5 TFSI 400 RS3,Essence,51 135  km
AUDI,E-TRON SPORTBACK,2020,68 380 €,408,Électrique,74 101  km
AUDI,SQ5 II,2018,54 540 €,3.0 V6 354 SQ5,Essence,95 569  km
AUDI,RS3 II SPORTBACK phase 2,2019,57 320 €,2.5 TFSI 400 RS3,Essence,136 640  km
AUDI,RS4 IV AVANT,2014,51 020 €,4.2 V8 450,Essence,127 265  km
AUDI,RS4 V AVANT,2020,99 980 €,2.9 V6 450 RS4,Essence,109 375  km
AUDI,RS6 III AVANT phase 2,2017,87 430 €,4.0 TFSI 605 PERFORMANCE,Essence,122 875  km
AUDI,RS Q8,2020,172 430 €,4.0 TFSI 600,Essence,66 164  km
AUDI,RS6 III AVANT phase 2,2016,81 880 €,4.0 TFSI 560 RS6,Essence,77 571  km
AUDI,RS5 II,2019,79 550 €,2.9 TFSI 450 RS5,Essence,46 435  km
AUDI,RS4 V AVANT,2020,109 980 €,2.9 V6 450 RS4,Essence,20 619  km
Marque,Modèle,Année,Prix,Moteur,Fuel,Mileage
AUDI,RS4 V AVANT,2019,82 300 €,2.9 V6 450 RS4,Essence,90 862  km
AUDI,TT III RS,2019,67 300 €,2.5 TFSI 400 RS,Essence,26 643  km
AUDI,RS4 V AVANT,2019,81 160 €,2.9 V6 450 RS4,Essence,127 392  km
AUDI,S5 II CABRIOLET phase 2,2018,66 490 €ou dès870 € /mois,3.0 TFSI 354,Essence,75 518  km
AUDI,RS5,2011,44 610 €,4.2 V8 450,Essence,77 945  km
AUDI,RS3 II SPORTBACK phase 2,2019,61 990 €,2.5 TFSI 400 RS3,Essence,75 160  km
AUDI,RS4 V AVANT,2020,102 580 €,2.9 V6 450 RS4,Essence,19 233  km
AUDI,RS6 III AVANT,2014,78 850 €,4.0 TFSI 560 RS,Essence,68 720  km
AUDI,RS4 V AVANT,2019,90 390 €,2.9 V6 450 RS4,Essence,99 786  km
AUDI,RS6 III AVANT phase 2,2017,80 380 €,4.0 TFSI 605 PERFORMANCE,Essence,145 896  km
AUDI,S4 AVANT V,2018,52 340 €,3.0 TFSI 354 S4,Essence,78 779  km
AUDI,RS6 III AVANT phase 2,2016,82 780 €,4.0 TFSI 560 RS6,Essence,102 000  km
AUDI,S6 AVANT IV phase 2,2018,53 500 €,4.0 TFSI 450 S6,Essence,124 558  km
AUDI,TT III RS,2019,64 780 €,2.5 TFSI 400 RS,Essence,48 577  km
AUDI,S5 II,2017,47 230 €,3.0 TFSI 354 S5,Essence,43 272  km
